KCNTOMS,KBCDO23,ZINST58,Label
0,1,0.998172783,3
0.038461538,1,0.998209433,3
0.096153846,1,0.998275236,3
0.153846154,1,0.99592909,3
0.192307692,1,0.991461972,3
0.25,1,0.98264796,3
0.307692308,1,0.972822468,3
0.365384615,1,0.962243987,3
0.423076923,0.989130435,0.95049521,3
0.461538462,0.989130435,0.942168197,3
0.519230769,0.989130435,0.928998961,3
0.576923077,0.967391304,0.915155589,3
0.634615385,0.913043478,0.907163422,3
0.673076923,0.826086957,0.905262072,3
0.730769231,0.652173913,0.89795709,3
0.788461538,0.489130435,0.880918795,3
0.846153846,0.358695652,0.854096378,3
0.903846154,0.260869565,0.82452772,3
0.942307692,0.217391304,0.804166783,3
1,0.152173913,0.773494465,3
