Tick,NORMAL,LOCA,SGTR,MSLB_in,MSLB_out,Diagnosis,Diagnosis_label
51,0.9999994039535522,4.286866328584438e-08,1.669758091793483e-07,4.767963801555197e-08,4.2750940565383644e-07,0,NORMAL
54,0.9999992847442627,4.601162473250042e-08,1.8203610352429678e-07,5.397525981720719e-08,4.794402457264368e-07,0,NORMAL
56,0.9999991655349731,4.965296795944596e-08,1.9456821576113725e-07,6.040781386218441e-08,5.308802428771742e-07,0,NORMAL
59,0.9999990463256836,5.5056297298961e-08,2.1672636307812354e-07,7.006198643466632e-08,6.089648536544701e-07,0,NORMAL
62,0.9999988079071045,6.254839490793529e-08,2.451822354032629e-07,8.358094305549457e-08,7.186766879385686e-07,0,NORMAL
65,0.9999986886978149,7.2941617190736e-08,2.8215077918503084e-07,1.0190785815211711e-07,8.682919201419281e-07,0,NORMAL
68,0.9999983310699463,8.828879316524763e-08,3.3370881169503264e-07,1.2862173548455758e-07,1.0868415074583027e-06,0,NORMAL
70,0.9999979734420776,1.0948154738343874e-07,3.9068376622708456e-07,1.6451939188755205e-07,1.3761697346126311e-06,0,NORMAL
73,0.9999972581863403,1.4414624160963285e-07,4.888487410426023e-07,2.2533100718646892e-07,1.868302888397011e-06,0,NORMAL
76,0.9999959468841553,2.067228308533231e-07,6.503752842945687e-07,3.425481907015637e-07,2.807455530273728e-06,0,NORMAL
79,0.9999935626983643,3.173648792653694e-07,9.034816343955754e-07,5.618100544779736e-07,4.5258557292982005e-06,0,NORMAL
82,0.99998939037323,5.197993573347048e-07,1.313527377533319e-06,1.0044919918072992e-06,7.864811777835712e-06,0,NORMAL
84,0.9999819993972778,8.463587164442288e-07,1.8412152940072701e-06,1.8108107724401634e-06,1.359649104415439e-05,0,NORMAL
87,0.9999675750732422,1.4197270274962648e-06,2.715915570661309e-06,3.518203811836429e-06,2.4644468794576824e-05,0,NORMAL
90,0.9999375343322754,2.4910059437388554e-06,4.120769062865293e-06,7.5530033427639864e-06,4.828487726626918e-05,0,NORMAL
93,0.9998691082000732,4.624665507435566e-06,6.45616546535166e-06,1.813135349948425e-05,0.00010166961146751419,0,NORMAL
96,0.9996806383132935,9.481746019446291e-06,1.1038277079933323e-05,5.209627124713734e-05,0.0002466458536218852,0,NORMAL
99,0.9986498951911926,2.8752610887750052e-05,2.597089041955769e-05,0.0002855282509699464,0.001009922125376761,0,NORMAL
101,0.9901812076568604,0.00012260476069059223,8.309986878884956e-05,0.0028496282175183296,0.006763502024114132,0,NORMAL
104,0.9377557635307312,0.0004721286823041737,0.0003176811442244798,0.022180330008268356,0.039274148643016815,0,NORMAL
107,0.8216584920883179,0.0010371101088821888,0.0008604482864029706,0.06663365662097931,0.10981029272079468,0,NORMAL
110,0.7561470866203308,0.0013421156909316778,0.0012810534099116921,0.09152853488922119,0.14970125257968903,0,NORMAL
113,0.7376442551612854,0.0014530215412378311,0.0014708982780575752,0.09850271046161652,0.1609290987253189,0,NORMAL
115,0.7321985363960266,0.00149505864828825,0.0015438140835613012,0.100520059466362,0.16424258053302765,0,NORMAL
118,0.7284665107727051,0.001557873678393662,0.0016412698896601796,0.10185255855321884,0.16648177802562714,0,NORMAL
121,0.7268915176391602,0.0015762373805046082,0.001679956796579063,0.1023993045091629,0.1674530804157257,0,NORMAL
124,0.724845826625824,0.001624880125746131,0.0017621178412809968,0.10309719294309616,0.16866996884346008,0,NORMAL
127,0.7234039902687073,0.0016529865097254515,0.0018174228025600314,0.10356015712022781,0.16956542432308197,0,NORMAL
129,0.7229991555213928,0.0016616280190646648,0.0018412545323371887,0.10366950929164886,0.16982844471931458,0,NORMAL
132,0.7206926941871643,0.0017270449316129088,0.001954819541424513,0.10452733933925629,0.17109811305999756,0,NORMAL
135,0.7204610705375671,0.0017246302450075746,0.001978188520297408,0.10462697595357895,0.17120906710624695,0,NORMAL
138,0.718906581401825,0.001780632184818387,0.0021013827063143253,0.10544421523809433,0.1717672348022461,0,NORMAL
141,0.718037486076355,0.0018059104913845658,0.0021784850396215916,0.10594326257705688,0.17203477025032043,0,NORMAL
144,0.7173004746437073,0.001848304644227028,0.002298647304996848,0.1067889928817749,0.17176367342472076,0,NORMAL
147,0.8336421847343445,0.14485330879688263,0.016038190573453903,0.005062589421868324,0.0004036890750285238,0,NORMAL
149,0.003852926893159747,0.9506828784942627,0.045432139188051224,2.2966669348534197e-05,9.114772183238529e-06,1,LOCA
152,0.0012414995580911636,0.9181531667709351,0.08057235181331635,2.419801239739172e-05,8.740385055716615e-06,1,LOCA
155,0.000876452773809433,0.8800148963928223,0.11904548853635788,4.768736835103482e-05,1.540087214380037e-05,1,LOCA
158,0.0005391425220295787,0.8626470565795898,0.13673880696296692,5.991215584799647e-05,1.4982810171204619e-05,1,LOCA
161,8.34359452710487e-05,0.9987309575080872,0.001179188140667975,4.914251803711522e-06,1.60272873017675e-06,1,LOCA
163,4.3536829252843745e-06,0.9999749660491943,1.8531469322624616e-05,1.8814350823959103e-06,1.9348215118952794e-07,1,LOCA
166,3.720439565313427e-07,0.9999969005584717,1.2861315781265148e-06,1.1528534287208458e-06,2.9765220688204863e-07,1,LOCA
169,2.388815971698932e-07,0.999997615814209,7.494143119401997e-07,1.1295709327896475e-06,3.587717287700798e-07,1,LOCA
172,3.18644083563413e-07,0.9999973773956299,4.888613602815894e-07,1.2877092103735777e-06,4.222491725158761e-07,1,LOCA
175,3.1356555041384127e-07,0.999997615814209,4.851890480495058e-07,1.2171620937806438e-06,3.59754011469704e-07,1,LOCA
178,3.02689443287818e-07,0.9999977350234985,4.94652397264872e-07,1.1084207471867558e-06,3.0057975664021797e-07,1,LOCA
180,2.718588518746401e-07,0.9999980926513672,5.151565574124106e-07,9.878349374048412e-07,2.530197207306628e-07,1,LOCA
183,2.2724276504959562e-07,0.9999980926513672,5.645442229251785e-07,8.613773729848617e-07,2.1436532904317573e-07,1,LOCA
186,2.0691339841505396e-07,0.9999980926513672,5.962354521216184e-07,7.924776923573518e-07,1.883098690314e-07,1,LOCA
189,1.9537277751169313e-07,0.9999983310699463,6.166970365484303e-07,7.513104947065585e-07,1.6766399824064138e-07,1,LOCA
192,1.814153165469179e-07,0.9999983310699463,6.121143769632909e-07,7.12709663730493e-07,1.4206936782557023e-07,1,LOCA
194,1.6081338571893866e-07,0.9999984502792358,5.771060500592284e-07,6.634359692725411e-07,1.0644524905956132e-07,1,LOCA
197,1.639258329078075e-07,0.9999980926513672,6.359872486427776e-07,1.0308924629498506e-06,1.484872313994856e-07,1,LOCA
200,3.1572434977533703e-07,0.9999960660934448,1.0904115015364368e-06,2.3764164325257298e-06,1.0162730035290224e-07,1,LOCA
203,6.2401210243479e-07,0.9999942779541016,2.5705630832817405e-06,2.3595789571118075e-06,1.6872486696684064e-07,1,LOCA
206,3.720411712038185e-07,0.999994158744812,2.4759979169175494e-06,2.8924555408593733e-06,9.307026971328014e-08,1,LOCA
